Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
low-density lipoprotein receptor activity (GO:0005041)	14-Apr	0.000314096	0.014237952	0.001686394	0.081713438	-2.149976146	17.34130613	LRP1;STAB1;SORL1;CXCL16
phosphatidylinositol bisphosphate binding (GO:1902936)	Sep-88	0.000347267	0.014237952	0.002340172	0.101785314	-1.274403052	10.15115082	GSDMD;AMER2;HIP1;SCIN;KIF16B;PLEK;TULP3;PFN1;PICALM
protein kinase binding (GO:0019901)	26/496	0.00032879	0.014237952	0.006970755	0.164415011	-1.073252534	8.607583243	ITGB2;PLEK;WAS;ARAF;HDAC7;PRKAR2B;RFFL;SLC12A7;NSF;NTRK2;ACE;GCH1;ADAM10;ANK2;VRK2;MAPK8IP2;SNAP91;SYN1;ACTA2;CD4;PTPRC;PKP2;PTPN6;TEK;TP53;LIMS1
clathrin heavy chain binding (GO:0032050)	7-Mar	0.000501383	0.019088358	0.002673535	0.101785314	-2.847709329	21.63729635	CEMIP;LRP1;PICALM
lipoprotein particle receptor activity (GO:0030228)	16-Apr	0.000548878	0.019503465	0.002547758	0.101785314	-2.091955032	15.70563348	LRP1;STAB1;SORL1;CXCL16
GTPase regulator activity (GO:0030695)	17/276	0.00060543	0.020168386	0.006641069	0.164415011	-1.573811171	11.66126664	RGS19;APLP2;WAS;WASL;ARHGAP27;GMIP;RASAL3;ARHGAP4;ARHGAP12;TBC1D2;RGS1;CHN1;RGS10;SH3BP4;NCKAP1L;TBC1D12;CPEB2
actin binding (GO:0003779)	16/255	0.000712069	0.022325471	0.007094832	0.164415011	-2.285358622	16.56275986	CAP1;CYFIP1;HIP1;HPCA;WIPF3;WAS;WASL;SCIN;PARVG;BIN1;MAP1A;MYH9;FXYD5;PFN1;GBP1;MYO1F
type II transforming growth factor beta receptor binding (GO:0005114)	8-Mar	0.000787363	0.022988398	0.003595681	0.122279983	-2.857336234	20.42087264	TGFB1;TGFBR1;ENG
low-density lipoprotein particle binding (GO:0030169)	18-Apr	0.000887017	0.022988398	0.003670694	0.122279983	-2.357710062	16.56915156	STAB1;THBS1;SORL1;SCARF1
"peptidase activity, acting on L-amino acid peptides (GO:0070011)"	13/186	0.000825027	0.022988398	0.006512743	0.164415011	-2.03576765	14.45414336	ACE;MMP2;CTSZ;ADAM10;PSEN1;PCSK6;ADAMTS4;NCSTN;ADAMTS1;ADAM23;CASP1;CTSH;CTSC
kinase binding (GO:0019900)	22/419	0.000905734	0.022988398	0.012347066	0.243740237	-1.478045885	10.35631958	NSF;ITGB2;WAS;PPP2R5A;ADAM10;ANK2;VRK2;MAPK8IP2;SNAP91;SYN1;HDAC7;ACTA2;CD4;PTPRC;ABI2;CASP1;WWC3;PTPN6;RFFL;SLC12A7;TP53;LIMS1
tau protein binding (GO:0048156)	9-Mar	0.001159209	0.026863404	0.004689507	0.138861515	-2.878046766	19.45564669	BIN1;APOE;CLU
type I transforming growth factor beta receptor binding (GO:0034713)	9-Mar	0.001159209	0.026863404	0.004689507	0.138861515	-2.782676349	18.810941	FKBP1A;TGFB1;ENG
cysteine-type peptidase activity (GO:0008234)	Jul-66	0.001260943	0.028003442	0.005848089	0.164054299	-1.114038495	7.437204505	CASP10;CTSZ;ATG4C;CASP1;CTSH;CTSS;CTSC
lipoprotein particle binding (GO:0071813)	24-Apr	0.0027364	0.058340042	0.00893359	0.198400141	-2.144876493	12.65715681	STAB1;THBS1;SORL1;SCARF1
ATPase-coupled anion transmembrane transporter activity (GO:0043225)	13-Mar	0.003663823	0.072020915	0.010931252	0.233054284	-2.543970272	14.26976052	ABCC4;ABCC8;ABCC9
lipoprotein particle receptor binding (GO:0070325)	26-Apr	0.003701504	0.072020915	0.01141501	0.234007705	-1.827391709	10.23159547	LRP1;APOE;CLU;PICALM
phosphatidylinositol binding (GO:0035091)	8/101	0.003783463	0.072020915	0.015862715	0.267667827	-1.289681061	7.192700399	SNX1;HIP1;SCIN;RUFY3;TULP3;ESYT2;ITPR3;PICALM
"phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)"	Jun-61	0.00407417	0.074880435	0.014381944	0.267667827	-2.219182972	12.21235969	GSDMD;AMER2;SCIN;TULP3;PFN1;PICALM
cysteine-type endopeptidase activity (GO:0004197)	Jul-82	0.004381396	0.077842799	0.016572304	0.267667827	-1.481302324	8.044046263	CASP10;CTSZ;ATG4C;CASP1;CTSH;CTSS;CTSC
Rac GTPase binding (GO:0048365)	May-44	0.004616553	0.079374933	0.014730427	0.267667827	-1.288668322	6.930595972	CYFIP1;ABI2;WAS;PAK3;ARHGAP4
anion transmembrane transporter activity (GO:0008509)	Jun-63	0.004782274	0.079654752	0.016449937	0.267667827	-1.777661673	9.497760309	ABCC4;ABCC8;SLCO2B1;SLC4A10;ABCC9;SLC4A4
peptide transmembrane transporter activity (GO:1904680)	15-Mar	0.005616756	0.088050918	0.015245821	0.267667827	-2.728671383	14.13997761	AZGP1;SLC15A2;SLC15A3
exopeptidase activity (GO:0008238)	May-46	0.005595197	0.088050918	0.017298731	0.271183045	-1.59774223	8.285646198	ACE;CTSZ;CPE;CTSH;LAP3
activating transcription factor binding (GO:0033613)	Jun-69	0.007449166	0.113440156	0.023863748	0.319989982	-2.194753649	10.75353175	MEF2C;CIITA;HDAC1;MYC;LMO2;HDAC7
cysteine-type endopeptidase activator activity involved in apoptotic process (GO:0008656)	17-Mar	0.008089676	0.115045869	0.020389435	0.310501964	-1.939621327	9.343478962	CASP1;CTSH;NOD1
L-amino acid transmembrane transporter activity (GO:0015179)	May-50	0.007975418	0.115045869	0.023286898	0.319989982	-1.429335388	6.905678382	SLC7A7;SLC1A4;SLC7A11;SLC1A5;SLC38A5
endopeptidase activity (GO:0004175)	17/355	0.008202145	0.115045869	0.052325638	0.368776894	-1.175861456	5.648085454	ACE;MMP2;RHBDF2;CTSZ;ADAM10;PLAT;PSEN1;PCSK6;CTSS;ADAMTS4;C3;NCSTN;CASP10;ATG4C;CASP1;CTSH;CTSC
phosphatidylethanolamine binding (GO:0008429)	7-Feb	0.012005597	0.127979664	0.027616396	0.319989982	-3.415511359	15.10469704	CD300A;ESYT2
phosphorylase activity (GO:0004645)	7-Feb	0.012005597	0.127979664	0.027616396	0.319989982	-3.305470095	14.6180525	PYGL;TYMP
ADP-ribosylation factor binding (GO:0030306)	7-Feb	0.012005597	0.127979664	0.027616396	0.319989982	-2.909074958	12.86504166	GGA2;SORL1
hyalurononglucosaminidase activity (GO:0004415)	7-Feb	0.012005597	0.127979664	0.027616396	0.319989982	-2.752345222	12.17192284	CEMIP;HYAL2
phosphatidylcholine-sterol O-acyltransferase activator activity (GO:0060228)	7-Feb	0.012005597	0.127979664	0.027616396	0.319989982	-2.702948101	11.95346989	APOC1;APOE
MHC class II protein binding (GO:0042289)	7-Feb	0.012005597	0.127979664	0.027616396	0.319989982	-2.628032295	11.62216355	CD74;CD4
hyaluronic acid binding (GO:0005540)	19-Mar	0.011110579	0.127979664	0.026370737	0.319989982	-2.002723646	9.011971054	CEMIP;HYAL2;CD44
peptidase activator activity involved in apoptotic process (GO:0016505)	19-Mar	0.011110579	0.127979664	0.026370737	0.319989982	-1.843434848	8.295194158	CASP1;CTSH;NOD1
SH3/SH2 adaptor activity (GO:0005070)	May-52	0.009395426	0.127979664	0.02672635	0.319989982	-1.77561028	8.287718252	CHN1;GAB1;BLNK;TP53BP2;ARHGAP4
GTPase activator activity (GO:0005096)	13/250	0.010356477	0.127979664	0.050614782	0.364563229	-1.717061129	7.847215112	RGS19;APLP2;ARHGAP27;GMIP;RASAL3;ARHGAP4;ARHGAP12;TBC1D2;RGS1;CHN1;RGS10;NCKAP1L;TBC1D12
cytokine receptor activity (GO:0004896)	Jun-74	0.010379641	0.127979664	0.031533245	0.343004477	-1.630073609	7.446027846	IL1RL1;CD74;CD4;IFNGR1;CD44;IL17RA
repressing transcription factor binding (GO:0070491)	May-54	0.010980425	0.127979664	0.030473755	0.338385652	-1.594410253	7.193406843	HHEX;HDAC1;NFYB;MYC;HDAC7
spectrin binding (GO:0030507)	20-Mar	0.012833031	0.129056707	0.029675223	0.336529654	-2.029793949	8.841240266	PTPRN;ANK2;GBP1
cadherin binding (GO:0045296)	15/314	0.012809338	0.129056707	0.06661282	0.417701568	-1.623410378	7.074141937	VASP;NOTCH3;PSEN1;CD2AP;TBC1D2;SNX1;EHD4;CDH1;PKP2;MYH9;ITGA6;ESYT2;FXYD5;PFN1;PICALM
SH3 domain binding (GO:0017124)	May-56	0.012738709	0.129056707	0.034535838	0.353992339	-1.298541396	5.665678881	GPX1;ABI2;WAS;ARHGAP27;CD2AP
amino acid transmembrane transporter activity (GO:0015171)	May-57	0.013685302	0.132623019	0.036686639	0.362110718	-1.784081574	7.656266287	SLC7A7;SLC1A4;SLC7A11;SLC1A5;SLC38A5
"ATPase activity, coupled to movement of substances (GO:0043492)"	May-57	0.013685302	0.132623019	0.036686639	0.362110718	-1.360085138	5.836714052	ABCC4;ABCC8;ABCA7;ABCC9;ATP9A
low-density lipoprotein particle receptor binding (GO:0050750)	21-Mar	0.014699355	0.137451866	0.033187568	0.353779472	-1.870057115	7.891550604	APOE;CLU;PICALM
metallopeptidase activity (GO:0008237)	7/103	0.014668648	0.137451866	0.045508009	0.364563229	-1.234629142	5.212657148	ADAMTS4;ACE;ADAMTS1;MMP2;ADAM23;ADAM10;LAP3
actin filament binding (GO:0051015)	8/128	0.015032398	0.138142551	0.049914812	0.364563229	-1.461804534	6.135994063	CYFIP1;HIP1;SCIN;BIN1;WIPF3;WAS;MYH9;WASL
protein binding involved in heterotypic cell-cell adhesion (GO:0086080)	8-Feb	0.015745009	0.140361727	0.033852111	0.353787753	-2.323521848	9.645477976	PKP2;DSC2
potassium ion transmembrane transporter activity (GO:0015079)	Apr-39	0.01580057	0.140361727	0.038115647	0.364563229	-1.552246727	6.438268168	ABCC8;ABCC9;SLC12A7;SLC12A9
metal ion binding (GO:0046872)	19/443	0.016082529	0.140524392	0.095379102	0.495855858	-0.939999454	3.882218195	LRP1;KCNIP2;HPCA;FBLN1;ITPR3;RASGRP2;NLK;SEPT4;SOD2;THBS1;GNAI1;ICK;SCIN;MTHFD2;CDH1;MT1G;ESYT2;APOE;PGM1
double-stranded RNA binding (GO:0003725)	May-60	0.016806	0.14447739	0.043624606	0.364563229	-1.591307941	6.502114949	IFIH1;OAS1;OAS3;DICER1;DDX60
sodium:bicarbonate symporter activity (GO:0008510)	9-Feb	0.01991238	0.160807553	0.040575763	0.364563229	-3.011382542	11.79381965	SLC4A10;SLC4A4
G-protein coupled nucleotide receptor activity (GO:0001608)	9-Feb	0.01991238	0.160807553	0.040575763	0.364563229	-2.84029973	11.12378859	P2RY12;PTAFR
G-protein coupled purinergic nucleotide receptor activity (GO:0045028)	9-Feb	0.01991238	0.160807553	0.040575763	0.364563229	-2.838000988	11.11478577	P2RY12;PTAFR
3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857)	9-Feb	0.01991238	0.160807553	0.040575763	0.364563229	-2.452008511	9.603079567	HADHA;HADH
neurotrophin binding (GO:0043121)	10-Feb	0.024484116	0.165190302	0.047753014	0.364563229	-3.305100486	12.26103272	NTRK2;PCSK6
potassium ion symporter activity (GO:0022820)	10-Feb	0.024484116	0.165190302	0.047753014	0.364563229	-2.763464666	10.25170969	SLC12A7;SLC12A9
potassium:chloride symporter activity (GO:0015379)	10-Feb	0.024484116	0.165190302	0.047753014	0.364563229	-2.75106654	10.20571598	SLC12A7;SLC12A9
serine-type carboxypeptidase activity (GO:0004185)	10-Feb	0.024484116	0.165190302	0.047753014	0.364563229	-2.74155086	10.17041537	CPE;CPVL
cation:chloride symporter activity (GO:0015377)	10-Feb	0.024484116	0.165190302	0.047753014	0.364563229	-2.623902829	9.733972861	SLC12A7;SLC12A9
serine-type exopeptidase activity (GO:0070008)	10-Feb	0.024484116	0.165190302	0.047753014	0.364563229	-2.615652524	9.703366452	CPE;CPVL
neutral amino acid transmembrane transporter activity (GO:0015175)	25-Mar	0.023625032	0.165190302	0.049274754	0.364563229	-1.951960345	7.310966885	SLC1A4;SLC1A5;SLC38A5
ATPase coupled ion transmembrane transporter activity (GO:0042625)	25-Mar	0.023625032	0.165190302	0.049274754	0.364563229	-1.836231398	6.877510077	ABCC4;ABCC8;ABCC9
"phosphatidylinositol-3,4-bisphosphate binding (GO:0043325)"	25-Mar	0.023625032	0.165190302	0.049274754	0.364563229	-1.812443035	6.788411989	HIP1;KIF16B;PLEK
Toll-like receptor binding (GO:0035325)	10-Feb	0.024484116	0.165190302	0.047753014	0.364563229	-1.817617102	6.742869953	UNC93B1;TLR2
"hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances (GO:0016820)"	Apr-43	0.021940554	0.165190302	0.050291954	0.364563229	-1.721283319	6.574301457	ABCC4;ABCC8;ABCA7;ABCC9
small GTPase binding (GO:0031267)	May-64	0.021653906	0.165190302	0.054021168	0.368776894	-1.54623211	5.926041943	GGA2;APLP2;WAS;SH3BP4;SORL1
purine ribonucleoside triphosphate binding (GO:0035639)	17/397	0.022300148	0.165190302	0.111359398	0.520654025	-1.347393925	5.124357351	ACVR1;GCH1;PDS5B;PYGL;NLK;SEPT4;TGFBR1;GNAI1;SYN1;ICK;RAB32;OAS1;OAS3;MYH9;GBP1;TP53;MYO1F
epidermal growth factor receptor binding (GO:0005154)	26-Mar	0.026223753	0.174715752	0.053792019	0.368776894	-1.743101657	6.346789476	SNX1;HIP1;HBEGF
P-P-bond-hydrolysis-driven transmembrane transporter activity (GO:0015405)	Apr-46	0.027380362	0.177780974	0.060665059	0.389572005	-1.333471632	4.797736578	ABCC4;ABCC8;ABCA7;ABCC9
"ATPase activity, coupled to transmembrane movement of substances (GO:0042626)"	Apr-46	0.027380362	0.177780974	0.060665059	0.389572005	-1.323823105	4.763021862	ABCC4;ABCC8;ABCA7;ABCC9
ATP binding (GO:0005524)	12/256	0.027684467	0.177780974	0.103666997	0.510031986	-1.18333209	4.244474687	ACVR1;ICK;OAS1;OAS3;MYH9;PDS5B;PYGL;NLK;TP53;TGFBR1;SYN1;MYO1F
clathrin adaptor activity (GO:0035615)	11-Feb	0.029437529	0.180347162	0.055351129	0.368776894	-2.580147439	9.096270875	HIP1;PICALM
"oxidoreductase activity, oxidizing metal ions, NAD or NADP as acceptor (GO:0016723)"	11-Feb	0.029437529	0.180347162	0.055351129	0.368776894	-2.527295582	8.909942452	STEAP3;CYBRD1
endocytic adaptor activity (GO:0098748)	11-Feb	0.029437529	0.180347162	0.055351129	0.368776894	-2.308994305	8.140324592	HIP1;PICALM
SH2 domain binding (GO:0042169)	27-Mar	0.028969124	0.180347162	0.058500575	0.38494823	-1.64757011	5.834910261	LAT2;LILRB1;NLK
RNA polymerase II transcription factor binding (GO:0001085)	7/122	0.033356905	0.202036711	0.089836258	0.477737016	-0.897492737	3.051915499	MEF2C;SPI1;HDAC1;LMO2;ID1;TP53;TEAD3
hexosaminidase activity (GO:0015929)	12-Feb	0.034750808	0.208114387	0.063338907	0.401900446	-2.402782838	8.072275016	CEMIP;HYAL2
Rho GTPase binding (GO:0017048)	May-73	0.035647813	0.211114271	0.082209482	0.476278847	-1.463998513	4.881069826	CYFIP1;ABI2;WAS;PAK3;ARHGAP4
ubiquitin-like protein ligase binding (GO:0044389)	13/298	0.037160619	0.217655057	0.136418151	0.593206569	-1.240506859	4.084375898	PTPRN;PRR5L;TNFRSF1B;NLK;CLU;ABI2;CASP10;PRKAR2B;BTBD3;TMBIM6;LTBR;RFFL;TP53
BMP receptor binding (GO:0070700)	13-Feb	0.040402987	0.231556901	0.071686622	0.439183558	-2.35331071	7.551424773	TGFB1;BMP7
symporter activity (GO:0015293)	13-Feb	0.040402987	0.231556901	0.071686622	0.439183558	-2.229169646	7.153074524	SLC12A7;SLC12A9
MHC protein binding (GO:0042287)	31-Mar	0.041400232	0.234748123	0.079163906	0.470714913	-1.618156022	5.15296736	CD74;CD4;LILRB1
collagen binding (GO:0005518)	Apr-53	0.042954476	0.240997216	0.088870204	0.477737016	-1.123581368	3.536600928	NID1;THBS1;CD44;CTSS
phosphatase binding (GO:0019902)	6/103	0.044222642	0.245527795	0.105891932	0.510031986	-0.908810736	2.834142963	SLC9A3R1;RCAN3;CRY1;NFATC2;TP53;CTSC
O-acyltransferase activity (GO:0008374)	Mar-32	0.044864081	0.246521186	0.084764035	0.477737016	-1.738775217	5.397363077	HHAT;SOAT1;LPCAT2
hexose transmembrane transporter activity (GO:0015149)	14-Feb	0.04637392	0.247172994	0.080365961	0.470714913	-2.397441708	7.362586748	SLC2A3;SLC2A5
phosphatidate phosphatase activity (GO:0008195)	14-Feb	0.04637392	0.247172994	0.080365961	0.470714913	-2.051806783	6.301135656	LPIN1;PLPP3
insulin-like growth factor I binding (GO:0031994)	14-Feb	0.04637392	0.247172994	0.080365961	0.470714913	-1.853083879	5.69085403	ITGB4;ITGA6
monocarboxylic acid transmembrane transporter activity (GO:0008028)	Mar-33	0.048467076	0.255771796	0.090528027	0.477737016	-1.566871936	4.742718536	SLCO1C1;SLCO2B1;SLC16A3
adenyl ribonucleotide binding (GO:0032559)	12/280	0.049219248	0.257194696	0.161133563	0.621334398	-0.953937531	2.872754754	ACVR1;ICK;OAS1;OAS3;MYH9;PDS5B;PYGL;NLK;TP53;TGFBR1;SYN1;MYO1F
CARD domain binding (GO:0050700)	15-Feb	0.052644253	0.26223726	0.089349967	0.477737016	-2.291165469	6.745645253	CASP1;NOD1
transmembrane receptor protein serine/threonine kinase activity (GO:0004675)	15-Feb	0.052644253	0.26223726	0.089349967	0.477737016	-2.127879793	6.26489986	ACVR1;TGFBR1
1-phosphatidylinositol binding (GO:0005545)	15-Feb	0.052644253	0.26223726	0.089349967	0.477737016	-1.975183696	5.815332287	SCIN;PICALM
cysteine-type endopeptidase activity involved in execution phase of apoptosis (GO:0097200)	15-Feb	0.052644253	0.26223726	0.089349967	0.477737016	-1.887346394	5.556721859	CASP10;CASP1
insulin-like growth factor binding (GO:0005520)	15-Feb	0.052644253	0.26223726	0.089349967	0.477737016	-1.833960907	5.399544403	ITGB4;ITGA6
ubiquitin protein ligase binding (GO:0031625)	12/285	0.054843859	0.270664602	0.174826482	0.633988961	-1.005553216	2.919387511	ABI2;CASP10;PRKAR2B;BTBD3;PRR5L;TMBIM6;LTBR;TNFRSF1B;NLK;RFFL;CLU;TP53
carboxylic acid binding (GO:0031406)	Mar-35	0.056082455	0.27423806	0.102526723	0.510031986	-1.303952275	3.756598174	CEMIP;HYAL2;CD44
purinergic nucleotide receptor activity (GO:0001614)	16-Feb	0.059195394	0.279213672	0.098612985	0.495855858	-1.962533475	5.547908541	P2RY12;PTAFR
transmembrane receptor protein phosphatase activity (GO:0019198)	16-Feb	0.059195394	0.279213672	0.098612985	0.495855858	-1.928223978	5.450918628	PTPRC;PTPN6
syntaxin-1 binding (GO:0017075)	16-Feb	0.059195394	0.279213672	0.098612985	0.495855858	-1.861585675	5.262538041	NSF;SNPH
transmembrane receptor protein tyrosine phosphatase activity (GO:0005001)	16-Feb	0.059195394	0.279213672	0.098612985	0.495855858	-1.85910315	5.255520161	PTPRC;PTPN6
Rho guanyl-nucleotide exchange factor activity (GO:0005089)	Apr-60	0.062598334	0.292674665	0.122268764	0.557002147	-1.061000691	2.940050548	ARHGEF9;MCF2;ARHGEF1;DOCK2
peptidoglycan binding (GO:0042834)	17-Feb	0.066009489	0.298083524	0.108130609	0.510031986	-1.891444948	5.140865595	NOD1;TLR2
cysteine-type endopeptidase activity involved in apoptotic process (GO:0097153)	17-Feb	0.066009489	0.298083524	0.108130609	0.510031986	-1.657232729	4.50428691	CASP10;CASP1
bile acid transmembrane transporter activity (GO:0015125)	17-Feb	0.066009489	0.298083524	0.108130609	0.510031986	-1.656540955	4.502406698	SLCO1C1;SLCO2B1
transmembrane receptor protein serine/threonine kinase binding (GO:0070696)	17-Feb	0.066009489	0.298083524	0.108130609	0.510031986	-1.2227826	3.323470242	TGFB1;BMP7
RNA polymerase II core promoter proximal region sequence-specific DNA binding (GO:0000978)	11/263	0.066551481	0.298083524	0.193402484	0.633988961	-0.78241573	2.120174093	MEF2C;HHEX;AKNA;HDAC1;MYC;RFX2;NFATC2;TP53;ELK3;TBX2;NFKB2
G-protein beta/gamma-subunit complex binding (GO:0031683)	18-Feb	0.0730694	0.314080565	0.117879628	0.541636567	-1.852309034	4.846280609	GNAI1;PIK3R5
"DNA binding, bending (GO:0008301)"	18-Feb	0.0730694	0.314080565	0.117879628	0.541636567	-1.67082063	4.371444219	FOXC1;HHEX
protein tyrosine phosphatase activity (GO:0004725)	Apr-63	0.072239614	0.314080565	0.138006782	0.593206569	-1.068131062	2.806799257	PTPRC;EYA1;PTPN6;PTPN3
PDZ domain binding (GO:0030165)	Apr-63	0.072239614	0.314080565	0.138006782	0.593206569	-1.034828235	2.719287196	NSF;SLC9A3R1;CRIM1;PSEN1
RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	17/461	0.071569386	0.314080565	0.256350015	0.633988961	-0.995968989	2.626457736	MEF2C;FOXC1;AKNA;SPI1;HDAC1;NFYB;LMO2;RFX2;NFATC2;ELK3;TBX2;NFKB2;LYL1;HHEX;MYC;IRF7;TP53
carboxypeptidase activity (GO:0004180)	Mar-40	0.077399493	0.32606651	0.135015817	0.593206569	-1.415726808	3.622526429	CTSZ;CPE;CPVL
signal sequence binding (GO:0005048)	Mar-40	0.077399493	0.32606651	0.135015817	0.593206569	-1.331790112	3.407751306	IPO13;CEMIP;KCNIP2
protease binding (GO:0002020)	6/119	0.077693146	0.32606651	0.168247192	0.631254816	-1.034551752	2.643267558	CST3;ADAMTS4;BIN1;TNFAIP3;RFFL;TP53
carboxylic acid transmembrane transporter activity (GO:0046943)	Apr-65	0.079062377	0.329220679	0.14892788	0.605943208	-1.095287161	2.779311056	SLC1A4;SLC1A5;SLC16A3;SLC38A5
ankyrin binding (GO:0030506)	19-Feb	0.080358673	0.332024593	0.127837981	0.577437659	-1.929636088	4.865105132	CDH1;FLNC
protein kinase C binding (GO:0005080)	Mar-41	0.082032517	0.335760972	0.141896384	0.605046182	-1.324074152	3.3110322	PLEK;PKP2;HDAC7
growth factor receptor binding (GO:0070851)	May-93	0.083152811	0.335760972	0.166806651	0.6305528	-1.213382831	3.017774427	SLC9A3R1;SNX1;HIP1;PGF;HBEGF
mitogen-activated protein kinase kinase binding (GO:0031434)	Apr-66	0.082589893	0.335760972	0.154509807	0.621334398	-0.915727529	2.283703551	NTRK2;ACE;ARAF;TEK
secondary active transmembrane transporter activity (GO:0015291)	Apr-67	0.086193619	0.345185491	0.160169297	0.621334398	-1.520547243	3.727103249	SLCO1C1;SLC7A7;SLCO2B1;SLC4A10
copper ion binding (GO:0005507)	Mar-42	0.086782093	0.345185491	0.148891402	0.605943208	-1.460761875	3.570620558	HEPH;SOD3;TP53
neuropilin binding (GO:0038191)	20-Feb	0.087861522	0.346890304	0.137984705	0.593206569	-1.887607346	4.590648458	PXN;SEMA3F
transcription regulatory region DNA binding (GO:0044212)	14/375	0.088533448	0.346973	0.268373149	0.633988961	-0.766235904	1.857643056	MEF2C;FOXC1;CIITA;SPI1;HDAC1;NFYB;LMO2;PROX1;ELK3;HHEX;MYC;CRY1;TP53;TEAD3
core promoter proximal region sequence-specific DNA binding (GO:0000987)	11/279	0.091610071	0.356409984	0.245524341	0.633988961	-0.830666143	1.985469902	MEF2C;HHEX;AKNA;HDAC1;MYC;RFX2;NFATC2;TP53;ELK3;TBX2;NFKB2
glucose transmembrane transporter activity (GO:0005355)	21-Feb	0.095562802	0.360124575	0.148299894	0.605943208	-1.879528992	4.413080754	SLC2A3;SLC2A5
glutamate receptor binding (GO:0035254)	21-Feb	0.095562802	0.360124575	0.148299894	0.605943208	-1.585297965	3.722234648	NSF;HIP1
phospholipid-translocating ATPase activity (GO:0004012)	21-Feb	0.095562802	0.360124575	0.148299894	0.605943208	-1.332144219	3.127836836	ABCA7;ATP9A
anion:cation symporter activity (GO:0015296)	Mar-44	0.096618788	0.360124575	0.163202281	0.621334398	-1.17873836	2.754690401	SLC4A10;SLC4A4;SLC12A9
cholesterol binding (GO:0015485)	Mar-44	0.096618788	0.360124575	0.163202281	0.621334398	-1.109230349	2.592251427	SOAT1;PMP2;APOE
mitogen-activated protein kinase binding (GO:0051019)	21-Feb	0.095562802	0.360124575	0.148299894	0.605943208	-0.945331253	2.219610965	ACE;GCH1
core promoter binding (GO:0001047)	May-98	0.098560073	0.364809158	0.191933887	0.633988961	-0.886868191	2.054952566	SPI1;HDAC1;CRY1;PROX1;TP53
adenylyltransferase activity (GO:0070566)	22-Feb	0.10344799	0.370052206	0.158764651	0.621334398	-1.690699766	3.835667401	OAS1;OAS3
"phosphatidylinositol-3,5-bisphosphate binding (GO:0080025)"	22-Feb	0.10344799	0.370052206	0.158764651	0.621334398	-1.620819754	3.677131575	HIP1;KIF16B
solute:proton symporter activity (GO:0015295)	22-Feb	0.10344799	0.370052206	0.158764651	0.621334398	-1.444841059	3.277891121	SLC15A2;SLC15A3
sialyltransferase activity (GO:0008373)	22-Feb	0.10344799	0.370052206	0.158764651	0.621334398	-1.414873542	3.209904225	ST6GALNAC1;ST6GAL1
magnesium ion binding (GO:0000287)	6/128	0.101413057	0.370052206	0.208790831	0.633988961	-0.936701977	2.143692522	ICK;MTHFD2;NLK;SEPT4;GNAI1;PGM1
bicarbonate transmembrane transporter activity (GO:0015106)	23-Feb	0.111503159	0.388901269	0.169361048	0.631254816	-1.497887196	3.285918666	SLC4A10;SLC4A4
