Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
positive regulation of B cell proliferation (GO:0030890)	6/31	0.000101378251773089428041697834803613886833772994577884674072265625	0.006171890626791899821246278889930181321687996387481689453125	0.000607663028122644552526943062531472605769522488117218017578125	0.0395571586462306334919247774450923316180706024169921875	-2.978182316687803	27.38930626789952	SASH3;CD74;MEF2C;PTPRC;NFATC2;NCKAP1L
negative regulation of leukocyte degranulation (GO:0043301)	3/7	0.0005013827534684389859720443638479991932399570941925048828125	0.0163266360985757190416034489999219658784568309783935546875	0.0024636026595649721492031769543018526746891438961029052734375	0.08211042746526549251928628336827387101948261260986328125	-3.482533967260873	26.460783318105527	CD84;CD300A;LGALS9
hyaluronan catabolic process (GO:0030214)	5/17	0.000045741946525623946510734352255411749865743331611156463623046875	0.0037024838430597894166351746747523066005669534206390380859375	0.00034339097703102428559007730513030764996074140071868896484375	0.0347438084974604211030424494310864247381687164306640625	-2.5598433116162758	25.579221015888713	CEMIP;TGFB1;HYAL2;LYVE1;CD44
positive regulation of alpha-beta T cell proliferation (GO:0046641)	5/14	0.00001574623314448682801576680223565318783585098572075366973876953125	0.0017843631399332474628260936100332401110790669918060302734375	0.0001628623952540491086511675877801508249831385910511016845703125	0.0200603985110748318787532440410359413363039493560791015625	-2.2134065332456396	24.477862287152302	SYK;IL18;LGALS9;RASAL3;CD55
regulation of apoptotic process (GO:0042981)	44/816	0.000001450182627254560168043938210569177016395769896917045116424560546875	0.0003066835064895196273464239578032675126451067626476287841796875	0.000159249054857022657831489009794267985853366553783416748046875	0.0200603985110748318787532440410359413363039493560791015625	-1.772087908151784	23.8236327391303	STEAP3;HIP1;HDAC1;ARAF;PSEN1;THBS1;CLU;IFIT3;IFIT2;NCSTN;SCIN;CASP10;FRZB;MYC;RPS6KA1;CASP1;TP53BP2;CTSH;NCKAP1L;PAK3;NTRK2;CD74;MEF2C;TGFB1;MCF2;LILRB1;INHBB;TNFRSF1B;SEPT4;BMP7;HCK;ARHGEF9;BCL6;BIN1;IRF5;ITGA6;ARHGEF1;TMBIM6;BIRC6;TEK;LTBR;MAP3K14;TP53;CD44
endocytosis (GO:0006897)	22/264	0.0000008781826619494552289355428047190610385541731375269591808319091796875	0.00022617195284570969639019455410533510075765661895275115966796875	0.0000300894150964993377611426950135609104108880273997783660888671875	0.007749392088034784235872631796837595175020396709442138671875	-1.685169894998657	23.50038716423023	APP;LRP1;WIPF3;WAS;WASL;VRK2;ARHGAP27;PIK3C2A;SORL1;CXCL16;SNX1;BIN1;STAB1;RIN3;AMPH;APOE;FOLR2;FCGR1A;SCARF1;ATP9A;CSNK1G2;PICALM
regulation of fibroblast migration (GO:0010762)	5/15	0.00002313555163884388891676509303341191525760223157703876495361328125	0.0024275191775127683176116466512439728830941021442413330078125	0.00021203342382566814513199238145801928112632595002651214599609375	0.0250287787374215801861065955336016486398875713348388671875	-2.190241518436164	23.378944802112297	TGFB1;HYAL2;PRR5L;RFFL;THBS1
positive regulation of intracellular signal transduction (GO:1902533)	32/480	0.000000514705933441362556350997560505877714831513003446161746978759765625	0.00016201798993770890450726029907713154898374341428279876708984375	0.000035708671313560707443780783965081582209677435457706451416015625	0.0084302221526097904924501591494845342822372913360595703125	-1.5937472124836545	23.076933863372503	APP;HIP1;NOD1;TREM2;DDX60;THBS1;PIK3R5;SLC9A3R1;CASP10;CASP1;HMOX1;LGALS9;NTRK2;CD74;TGFB1;UNC5B;GAB1;IL18;TNFRSF1B;SEPT4;TGFBR1;FKBP1A;CD4;PTPN6;TEK;LTBR;TRIM38;MAP3K14;TP53;ENG;LIMS1;HBEGF
cellular response to transforming growth factor beta stimulus (GO:0071560)	12/101	0.0000081192219011101725702032883003056440429645590484142303466796875	0.00108571990314518490410022888426055942545644938945770263671875	0.000101807554010136238286342302838960449662408791482448577880859375	0.01442104002553579698842067813302492140792310237884521484375	-1.961189926438291	22.987648873883106	ACVR1;FKBP1A;MEF2C;TGFB1;HYAL2;TGFBRAP1;ID1;PXN;NLK;TGFBR1;FERMT2;LIMS1
negative regulation of leukocyte migration (GO:0002686)	3/8	0.000787362571516890563140533831898437711060978472232818603515625	0.020464203349608724169517159907627501524984836578369140625	0.0033153473158730041407682431753300988930277526378631591796875	0.090311336017963650402151642992976121604442596435546875	-3.1099039504213524	22.225929083978585	CD300A;HMOX1;WASL
regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905005)	3/7	0.0005013827534684389859720443638479991932399570941925048828125	0.0163266360985757190416034489999219658784568309783935546875	0.0024636026595649721492031769543018526746891438961029052734375	0.08211042746526549251928628336827387101948261260986328125	-2.896790651031699	22.01022314655338	ACVR1;TGFBR1;ENG
extracellular matrix organization (GO:0030198)	20/230	0.000001424940721411010159254384964400141910800812183879315853118896484375	0.0003066835064895196273464239578032675126451067626476287841796875	0.0000396653301902476893470335383984348709418554790318012237548828125	0.00864399080222859154953862770298655959777534008026123046875	-1.6316695426056553	21.964524308928986	APP;TGFB1;ITGAM;LAMC3;ITGB4;MMP2;ITGB2;ADAM10;ITGAL;NID1;THBS1;CTSS;TGFBR1;ADAMTS4;CDH1;COL4A4;ITGAX;ITGA6;CD44;MATN3
negative regulation of apoptotic signaling pathway (GO:2001234)	9/66	0.000036489694419771816409105158474091012976714409887790679931640625	0.0034458434763737851198872608193823907640762627124786376953125	0.000297438028634326051026504078578227563411928713321685791015625	0.03240930519696329226153608260574401356279850006103515625	-2.14013676866936	21.868946227285385	ACVR1;GPX1;ITGA6;TMBIM6;BIRC6;MAPK8IP2;THBS1;CLU;TGFBR1
Notch receptor processing, ligand-dependent (GO:0035333)	4/14	0.0003140955652939131544088002812031845678575336933135986328125	0.0118644364863687463984565084729183581657707691192626953125	0.00151861269314621416710864298948990835924632847309112548828125	0.06425267720621176403827945478042238391935825347900390625	-2.704212933188674	21.81167656220498	NOTCH3;NCSTN;ADAM10;PSEN1
regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process (GO:1902959)	3/9	0.0011592088121857198335096228447582689113914966583251953125	0.0257452649091724529439861868240768671967089176177978515625	0.00432650693382304572798258135435389704070985317230224609375	0.10476063370530504237354563201733981259167194366455078125	-3.1027352283685996	20.974544643415747	BIN1;SORL1;PICALM
positive regulation of myeloid leukocyte mediated immunity (GO:0002888)	3/10	0.00162543491500666205558378596407465010997839272022247314453125	0.0299509552401458108150666959090813179500401020050048828125	0.005505090071227362359673751512900707894004881381988525390625	0.1155253346058305041754721287361462600529193878173828125	-3.237361943424494	20.790273196983108	ITGAM;SYK;ITGB2
positive regulation of amyloid-beta clearance (GO:1900223)	3/7	0.0005013827534684389859720443638479991932399570941925048828125	0.0163266360985757190416034489999219658784568309783935546875	0.0024636026595649721492031769543018526746891438961029052734375	0.08211042746526549251928628336827387101948261260986328125	-2.7188204703700913	20.65798066109821	LRP1;ABCA7;PICALM
monocyte activation (GO:0042117)	3/9	0.0011592088121857198335096228447582689113914966583251953125	0.0257452649091724529439861868240768671967089176177978515625	0.00432650693382304572798258135435389704070985317230224609375	0.10476063370530504237354563201733981259167194366455078125	-3.021657224282044	20.42645591165288	HYAL2;ADAM10;MT1G
negative regulation of leukocyte mediated cytotoxicity (GO:0001911)	3/9	0.0011592088121857198335096228447582689113914966583251953125	0.0257452649091724529439861868240768671967089176177978515625	0.00432650693382304572798258135435389704070985317230224609375	0.10476063370530504237354563201733981259167194366455078125	-2.9818058893965094	20.15706018783669	PTPRC;LILRB1;LGALS9
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	26/397	0.0000083288159307242561209781717135314238475984893739223480224609375	0.00108571990314518490410022888426055942545644938945770263671875	0.000250391987992994689837811250754384673200547695159912109375	0.028374420079366156899336459673577337525784969329833984375	-1.712586469065122	20.03005042667862	CYFIP1;FOXC1;PXN;PLAT;WASL;PSEN1;TCIRG1;SHB;PIK3C2A;NCSTN;EFS;CHN1;POLR2E;BLNK;NCKAP1L;PAK3;NTRK2;SYK;MMP2;GAB1;PGF;HCK;CD4;KIF16B;LCP2;TEK
cellular response to interleukin-18 (GO:0071351)	3/8	0.000787362571516890563140533831898437711060978472232818603515625	0.020464203349608724169517159907627501524984836578369140625	0.0033153473158730041407682431753300988930277526378631591796875	0.090311336017963650402151642992976121604442596435546875	-2.7362518018547495	19.55550379480129	ALOX5;IL18;IL18R1
interleukin-18-mediated signaling pathway (GO:0035655)	3/8	0.000787362571516890563140533831898437711060978472232818603515625	0.020464203349608724169517159907627501524984836578369140625	0.0033153473158730041407682431753300988930277526378631591796875	0.090311336017963650402151642992976121604442596435546875	-2.7332210514092266	19.533843561704927	ALOX5;IL18;IL18R1
regulation of superoxide metabolic process (GO:0090322)	3/7	0.0005013827534684389859720443638479991932399570941925048828125	0.0163266360985757190416034489999219658784568309783935546875	0.0024636026595649721492031769543018526746891438961029052734375	0.08211042746526549251928628336827387101948261260986328125	-2.551785670178586	19.388826735823837	SYK;GCH1;BMP7
positive regulation of macromolecule metabolic process (GO:0010604)	20/277	0.00002312355391721496468394013434899392223087488673627376556396484375	0.0024275191775127683176116466512439728830941021442413330078125	0.000407371157021143496905490888337908472749404609203338623046875	0.03606507774502810959038612281801761128008365631103515625	-1.8157509718286158	19.382522107888985	NSF;NTRK2;APP;MEF2C;TGFB1;LILRB1;ANK2;CLU;TGFBR1;KLF2;ACTA2;EPB41L4B;MYC;UBR5;CTSH;LGALS9;TP53;TLR2;VAMP3;LIMS1
hippo signaling (GO:0035329)	6/31	0.000101378251773089428041697834803613886833772994577884674072265625	0.006171890626791899821246278889930181321687996387481689453125	0.000607663028122644552526943062531472605769522488117218017578125	0.0395571586462306334919247774450923316180706024169921875	-2.0914219768704907	19.234080042362482	MOB1A;FAT4;LIMD1;MAP3K14;AJUBA;TEAD3
positive regulation of cell migration (GO:0030335)	17/222	0.0000450897896038614430188652681952277134769246913492679595947265625	0.0037024838430597894166351746747523066005669534206390380859375	0.00058953896402436718922335234793763447669334709644317626953125	0.0395571586462306334919247774450923316180706024169921875	-1.8701377886486612	18.71419717923175	ACVR1;SUN2;CEMIP;TGFB1;GAB1;ADAM10;SEMA3F;SOD2;THBS1;TGFBR1;CXCL16;PTPRC;RUFY3;CTSH;ITGA6;PFN1;HBEGF
regulation of sterol transport (GO:0032371)	3/8	0.000787362571516890563140533831898437711060978472232818603515625	0.020464203349608724169517159907627501524984836578369140625	0.0033153473158730041407682431753300988930277526378631591796875	0.090311336017963650402151642992976121604442596435546875	-2.59223796573814	18.52626258360382	LRP1;APOC1;APOE
positive regulation of viral entry into host cell (GO:0046598)	4/9	0.00004367009017974352188228015503312917644507251679897308349609375	0.0037024838430597894166351746747523066005669534206390380859375	0.0003978964753310707956786285155459381712717004120349884033203125	0.03606507774502810959038612281801761128008365631103515625	-1.8310629523264492	18.381761055464995	CD74;CD4;LGALS9;TRIM38
heart trabecula morphogenesis (GO:0061384)	5/19	0.000082476575822600472326882881102250166804878972470760345458984375	0.005641713757279946672706927301987889222800731658935546875	0.000528497394556339265998812226854397522401995956897735595703125	0.0395571586462306334919247774450923316180706024169921875	-1.935653978018835	18.200947066339424	FKBP1A;TEK;BMP7;TGFBR1;ENG
regulation of superoxide anion generation (GO:0032928)	4/14	0.0003140955652939131544088002812031845678575336933135986328125	0.0118644364863687463984565084729183581657707691192626953125	0.00151861269314621416710864298948990835924632847309112548828125	0.06425267720621176403827945478042238391935825347900390625	-2.254918220575761	18.187749306940294	TGFB1;ITGAM;SYK;ITGB2
membrane protein intracellular domain proteolysis (GO:0031293)	5/25	0.00033302737054849256004285251719920779578387737274169921875	0.01229576534782980852533729176911947433836758136749267578125	0.0015369139140613877723973157429782077088020741939544677734375	0.06425267720621176403827945478042238391935825347900390625	-2.2684167394552146	18.16386132217479	NOTCH3;NCSTN;TGFB1;ADAM10;PSEN1
muscle cell fate commitment (GO:0042693)	3/10	0.00162543491500666205558378596407465010997839272022247314453125	0.0299509552401458108150666959090813179500401020050048828125	0.005505090071227362359673751512900707894004881381988525390625	0.1155253346058305041754721287361462600529193878173828125	-2.8142104708393707	18.072802962732915	ACVR1;MEF2C;TBX2
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	6/29	0.000068230531763097614799708223731755651897401548922061920166015625	0.00508676569696988288560302038376903510652482509613037109375	0.0004454328283712884477447968567531688677263446152210235595703125	0.03823973341745030840588270848456886596977710723876953125	-1.8788385080874466	18.0229808686401	FKBP1A;TGFB1;PCSK6;BMP7;FSTL3;ENG
regulation of amyloid fibril formation (GO:1905906)	4/9	0.00004367009017974352188228015503312917644507251679897308349609375	0.0037024838430597894166351746747523066005669534206390380859375	0.0003978964753310707956786285155459381712717004120349884033203125	0.03606507774502810959038612281801761128008365631103515625	-1.7845521560651152	17.9148462821149	APP;APOE;PSEN1;CLU
negative regulation of hippo signaling (GO:0035331)	3/9	0.0011592088121857198335096228447582689113914966583251953125	0.0257452649091724529439861868240768671967089176177978515625	0.00432650693382304572798258135435389704070985317230224609375	0.10476063370530504237354563201733981259167194366455078125	-2.6360457812625655	17.81971578356382	WWC3;LIMD1;AJUBA
hyaluronan metabolic process (GO:0030212)	5/22	0.00017557997617217494770898433831263218962703831493854522705078125	0.0084967157629587015954530926364896004088222980499267578125	0.000934793215973854746229931844681004804442636668682098388671875	0.0499673430349798219918255881566437892615795135498046875	-2.0595105225977783	17.80944406852381	CEMIP;TGFB1;HYAL2;LYVE1;CD44
regulation of leukocyte degranulation (GO:0043300)	3/10	0.00162543491500666205558378596407465010997839272022247314453125	0.0299509552401458108150666959090813179500401020050048828125	0.005505090071227362359673751512900707894004881381988525390625	0.1155253346058305041754721287361462600529193878173828125	-2.704593378045322	17.368844200606794	ADGRE2;SYK;UNC13D
hematopoietic progenitor cell differentiation (GO:0002244)	5/23	0.0002197786221005430177914685696549668136867694556713104248046875	0.00943657821535366821141810333983812597580254077911376953125	0.00111134792057707219685436239586806550505571067333221435546875	0.054027360326936287038268602600510348565876483917236328125	-2.045273041446249	17.227109400999037	TGFB1;PTPRC;ACE;PLEK;FSTL3
regulation of protein metabolic process (GO:0051246)	8/60	0.000116266678052681670697821036952745998860336840152740478515625	0.00658766997846494360702163106680018245242536067962646484375	0.0007328601684066051759336435367231388227082788944244384765625	0.04417431610842366407343462242351961322128772735595703125	-1.8870608413367804	17.0960617945697	FKBP1A;APP;ACE;LRP1;BTBD3;APOE;FOLR2;KLF2
receptor metabolic process (GO:0043112)	9/59	0.000014456294046858307570540581876716856868370086885988712310791015625	0.00170644504311456596430673915421039055217988789081573486328125	0.00013940644036863981459518913030848352718749083578586578369140625	0.0188065926459217436228499309436301700770854949951171875	-1.527746667590711	17.025790421885645	SNX1;TGFB1;SYK;LRP1;KIF16B;ITGB2;CD9;LILRB1;PICALM
positive regulation of apoptotic process (GO:0043065)	21/308	0.00003400706954817672169298636841716643175459466874599456787109375	0.0033221388975856777463213642676009840215556323528289794921875	0.000596684838501066751835499868406031964696012437343597412109375	0.0395571586462306334919247774450923316180706024169921875	-1.6545212449180542	17.02327333697723	MCF2;LILRB1;NOD1;PSEN1;SEPT4;TGFBR1;IFIT2;NCSTN;ARHGEF9;SCIN;BCL6;FRZB;BIN1;MYC;CASP1;TP53BP2;CTSH;IRF5;ITGA6;ARHGEF1;TP53
regulation of B cell proliferation (GO:0030888)	7/44	0.000099377881038149114452384669249340731767006218433380126953125	0.006171890626791899821246278889930181321687996387481689453125	0.000614371683880744084461922316364734797389246523380279541015625	0.0395571586462306334919247774450923316180706024169921875	-1.8458934932067523	17.012826886125975	SASH3;CD74;MEF2C;PTPRC;CD300A;NFATC2;NCKAP1L
cellular response to thyroid hormone stimulus (GO:0097067)	3/11	0.0021937573042194132878768275674019605503417551517486572265625	0.03510924035732694570288714430716936476528644561767578125	0.00685800125411316352508350746575160883367061614990234375	0.1263977550931126014877037277983617968857288360595703125	-2.744614379340598	16.802912217098758	LMO2;CTSH;CTSS
Notch receptor processing (GO:0007220)	4/17	0.000703689095129684583952711651733125108876265585422515869140625	0.0201355283341324853285669860269990749657154083251953125	0.0027737467324506653344740048083849615068174898624420166015625	0.0844948870218573677703943758388049900531768798828125	-2.3135905708910407	16.79475634669864	NOTCH3;NCSTN;ADAM10;PSEN1
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	12/145	0.0002865469799933028608070195719648154408787377178668975830078125	0.011274827698903151784737275420411606319248676300048828125	0.0020131981233197696577741364620806052698753774166107177734375	0.0760452037781987610909339991849265061318874359130859375	-2.0476952221463365	16.704295040860792	ACVR1;FKBP1A;TGFB1;TGFBRAP1;ID1;PXN;INHBB;NLK;BMP7;TGFBR1;FERMT2;ENG
negative regulation of interleukin-2 production (GO:0032703)	4/16	0.0005488780012915706225939960205550960381515324115753173828125	0.0174715885130226900034955406226799823343753814697265625	0.002297174276419420256567516247514504357241094112396240234375	0.08211042746526549251928628336827387101948261260986328125	-2.2214202985783107	16.67761136387133	TNFAIP3;GBP1;HDAC7;HAVCR2
antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	10/98	0.00016798220981248214510143934585784109003725461661815643310546875	0.0084967157629587015954530926364896004088222980499267578125	0.001126273439819179024434792069087052368558943271636962890625	0.054027360326936287038268602600510348565876483917236328125	-1.9070087439168564	16.575057274902452	CD74;HLA-DMA;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-DOA;CTSS;HLA-DRB1;HLA-DPA1;HLA-DQB1
positive regulation of cell activation (GO:0050867)	3/10	0.00162543491500666205558378596407465010997839272022247314453125	0.0299509552401458108150666959090813179500401020050048828125	0.005505090071227362359673751512900707894004881381988525390625	0.1155253346058305041754721287361462600529193878173828125	-2.5769397480747926	16.54905516000711	APP;RPS6KA1;PLEK
carboxylic acid catabolic process (GO:0046395)	5/29	0.000685666085131351218766304622675988866831175982952117919921875	0.0201355283341324853285669860269990749657154083251953125	0.002730339989410901328781289265634768526069819927215576171875	0.0844948870218573677703943758388049900531768798828125	-2.2506843354940074	16.396505027560526	CEMIP;TGFB1;HYAL2;LYVE1;CD44
regulation of monocyte differentiation (GO:0045655)	4/15	0.0004198992066347462053486905286803221315494738519191741943359375	0.01525095451790046095774666667921337648294866085052490234375	0.0018801461058319903808799811173457783297635614871978759765625	0.07387297531425217334000166147234267555177211761474609375	-2.0955590326561415	16.2940105821552	CD74;CD4;MYC;IRF7
regulation of actin nucleation (GO:0051125)	4/17	0.000703689095129684583952711651733125108876265585422515869140625	0.0201355283341324853285669860269990749657154083251953125	0.0027737467324506653344740048083849615068174898624420166015625	0.0844948870218573677703943758388049900531768798828125	-2.241618011224984	16.272295018212972	SCIN;WIPF3;WAS;WASL
regulation of mast cell activation involved in immune response (GO:0033006)	3/10	0.00162543491500666205558378596407465010997839272022247314453125	0.0299509552401458108150666959090813179500401020050048828125	0.005505090071227362359673751512900707894004881381988525390625	0.1155253346058305041754721287361462600529193878173828125	-2.530139885540386	16.248507385406924	ADGRE2;CD300A;UNC13D
positive regulation of leukocyte degranulation (GO:0043302)	3/12	0.0028711375948966264860795494229250834905542433261871337890625	0.04026699409080268521332612863261601887643337249755859375	0.00839111228550954400817740719276116578839719295501708984375	0.1337816215367770567024052752458374015986919403076171875	-2.764388139386591	16.180093576748103	ITGAM;SYK;ITGB2
astrocyte activation (GO:0048143)	3/7	0.0005013827534684389859720443638479991932399570941925048828125	0.0163266360985757190416034489999219658784568309783935546875	0.0024636026595649721492031769543018526746891438961029052734375	0.08211042746526549251928628336827387101948261260986328125	-2.1293374348110388	16.17900557563891	APP;LRP1;PSEN1
cortical actin cytoskeleton organization (GO:0030866)	5/22	0.00017557997617217494770898433831263218962703831493854522705078125	0.0084967157629587015954530926364896004088222980499267578125	0.000934793215973854746229931844681004804442636668682098388671875	0.0499673430349798219918255881566437892615795135498046875	-1.863170756842083	16.11161245354253	WIPF3;PLEK;WAS;NCKAP1L;WASL
antigen processing and presentation of exogenous peptide antigen (GO:0002478)	10/98	0.00016798220981248214510143934585784109003725461661815643310546875	0.0084967157629587015954530926364896004088222980499267578125	0.001126273439819179024434792069087052368558943271636962890625	0.054027360326936287038268602600510348565876483917236328125	-1.8395223285216138	15.988488805291505	CD74;HLA-DMA;HLA-DRB5;HLA-DPB1;HLA-DRA;HLA-DOA;CTSS;HLA-DRB1;HLA-DPA1;HLA-DQB1
positive regulation of microglial cell activation (GO:1903980)	2/7	0.012005597043367975673699987737563787959516048431396484375	0.08765942377283884867633645399109809659421443939208984375	0.0261640460068793441472667637981430743820965290069580078125	0.2053261560595268375717381559297791682183742523193359375	-3.611923592621648	15.973307028725843	APP;ITGAM
